is	739	UnrelEv, 512, RelNScrEv, 7, ScrEv_wait, 3, Evoking, 3, ScrEv_return_book, 2, ScrEv_small_talk, 1, ScrEv_train_arrives, 1, ScrEv_take_out_oven, 1, ScrEv_bus_comes, 1, ScrEv_fill_water/wait, 1, ScrEv_take_book, 1, ScrEv_make_appointment, 1
went	732	UnrelEv, 172, RelNScrEv, 126, ScrEv_move_section, 57, Evoking, 37, ScrEv_get_library, 25, ScrEv_get_salon, 23, ScrEv_other, 22, ScrEv_leave, 22, ScrEv_go_checkout, 19, ScrEv_go_security_checks, 18, ScrEv_enter, 16, ScrEv_get_shelf, 16, ScrEv_enter_bathroom, 15, ScrEv_go_check_out, 15, ScrEv_go_grocery, 14, ScrEv_move_in_salon, 14, ScrEv_get_train_station, 11, ScrEv_find_terminal, 9, ScrEv_go_check_in, 9, ScrEv_get_ingredients, 8, ScrEv_get_bus_stop, 7, ScrEv_get_platform, 6, ScrEv_take_home, 5, ScrEv_listen_crew, 5, ScrEv_get_airport, 5, ScrEv_wait, 4, ScrEv_get_tree, 4, ScrEv_ride_bike, 4, ScrEv_spend_time_train, 3, ScrEv_find_place, 3, ScrEv_take_off_preparations, 2, ScrEv_take_off, 2, ScrEv_ride, 2, ScrEv_move_exit, 2, Unclear, 2, ScrEv_add_ingredients, 2, ScrEv_get_tickets, 2, ScrEv_cut, 2, ScrEv_board_plane, 2, ScrEv_wait_boarding, 1, ScrEv_get_ticket, 1, ScrEv_train_departs, 1, ScrEv_check_time-table, 1, ScrEv_dry, 1, ScrEv_put_cake_oven, 1, ScrEv_go_target_location, 1, ScrEv_water, 1, ScrEv_sit_down, 1, ScrEv_decorate, 1, ScrEv_landing, 1, ScrEv_get_off, 1, ScrEv_spend_time_flight, 1, ScrEv_bring_vehicle, 1, ScrEv_place_root, 1
got	728	UnrelEv, 124, RelNScrEv, 100, ScrEv_get_off, 64, ScrEv_get_tools, 32, ScrEv_board_bus, 30, ScrEv_get_groceries, 28, ScrEv_sink_water, 22, ScrEv_get_on, 20, ScrEv_other, 20, ScrEv_get_ingredients, 15, Evoking, 14, ScrEv_get_out_bath, 14, ScrEv_get_utensils, 14, ScrEv_board_plane, 14, ScrEv_take_shop_cart, 13, ScrEv_get_library, 11, ScrEv_prepare_bath, 11, ScrEv_exit_plane, 10, ScrEv_take_home, 8, ScrEv_get_salon, 8, ScrEv_go_grocery, 7, ScrEv_get_train_station, 7, Unclear, 6, ScrEv_leave, 6, ScrEv_enter, 5, ScrEv_get_airport, 5, ScrEv_get_bus_stop, 5, ScrEv_wait, 4, ScrEv_go_checkout, 4, ScrEv_bus_stops, 4, ScrEv_get_dressed, 4, ScrEv_spend_time_flight, 4, ScrEv_get_tree, 3, ScrEv_take_book, 3, ScrEv_arrive_destination, 3, ScrEv_sit_down, 3, ScrEv_find_place, 3, ScrEv_get_platform, 3, ScrEv_put_new_tire, 2, ScrEv_get_ticket, 2, ScrEv_get_receipt, 2, ScrEv_undress, 2, ScrEv_go_exit, 2, ScrEv_get_shelf, 2, ScrEv_ride, 2, ScrEv_find_terminal, 2, ScrEv_move_section, 2, ScrEv_take_seat, 2, ScrEv_wait_boarding, 2, ScrEv_take_tire_off, 2, ScrEv_ride_bike, 2, ScrEv_train_departs, 2, ScrEv_get_tickets, 2, ScrEv_take_bags, 2, ScrEv_pour_dough, 1, ScrEv_put_patch/seal, 1, ScrEv_take_off_preparations, 1, ScrEv_wash, 1, ScrEv_change_bus, 1, ScrEv_go_security_checks, 1, ScrEv_check_temp, 1, ScrEv_spend_time_train, 1, ScrEv_take_off, 1, ScrEv_take_clean_clothes, 1, ScrEv_go_check_in, 1, ScrEv_dig_hole, 1, ScrEv_landing, 1, ScrEv_pay, 1, ScrEv_check_time-table, 1, ScrEv_get_towel, 1, ScrEv_move_exit, 1, ScrEv_take_out_cake_tin, 1, ScrEv_take_out_oven, 1, ScrEv_get_destination_airport, 1, ScrEv_train_arrives, 1, ScrEv_spend_time_bus, 1, ScrEv_bring_vehicle, 1
off	709	ScrEv_take_off, 1, ScrEv_get_off, 1
would	657	UnrelEv, 3
cake	657	Evoking, 3
put	635	RelNScrEv, 103, ScrEv_other, 49, UnrelEv, 46, ScrEv_put_cake_oven, 45, ScrEv_put_new_tire, 42, ScrEv_get_dressed, 23, ScrEv_close_drain, 21, ScrEv_put_on_cape, 20, ScrEv_decorate, 20, ScrEv_get_groceries, 17, ScrEv_place_root, 16, ScrEv_pack_groceries, 15, ScrEv_put_conveyor, 15, ScrEv_put_bubble_bath_scent, 13, ScrEv_get_ticket, 12, ScrEv_stow_away_luggage, 12, ScrEv_bring_vehicle, 11, ScrEv_put_patch/seal, 10, ScrEv_prepare_bath, 10, ScrEv_add_ingredients, 10, ScrEv_return_shop_cart, 10, ScrEv_refill_tire_air, 8, ScrEv_buckle_seat_belt, 8, ScrEv_pour_dough, 7, ScrEv_refill_hole, 6, ScrEv_put_towel, 6, ScrEv_place_fertilizers, 6, ScrEv_get_ingredients, 6, ScrEv_wash, 5, ScrEv_prepare_ingredients, 5, ScrEv_go_security_checks, 4, ScrEv_get_utensils, 4, ScrEv_get_tools, 3, ScrEv_turn_water_on, 2, ScrEv_cool_down, 2, ScrEv_sink_water, 2, ScrEv_tie_stakes_up, 2, ScrEv_prepare_wash, 2, ScrEv_register, 2, Unclear, 2, ScrEv_spend_time_flight, 2, ScrEv_make_hair_style, 2, ScrEv_take_clean_clothes, 1, ScrEv_board_bus, 1, ScrEv_check_off, 1, ScrEv_apply_soap, 1, ScrEv_make_list, 1, ScrEv_check, 1, ScrEv_lay_bike_down, 1, ScrEv_take_home, 1, ScrEv_remove_tire, 1, ScrEv_set_time, 1, ScrEv_make_dough, 1, ScrEv_check_in, 1, ScrEv_examine_tire, 1, ScrEv_eat, 1, Evoking, 1, ScrEv_grease_cake_tin, 1, ScrEv_take_off_preparations, 1, ScrEv_return_book, 1, ScrEv_take_out_cake_tin, 1, ScrEv_get_tickets, 1, ScrEv_take_bags, 1, ScrEv_spend_time_bus, 1, ScrEv_get_receipt, 1, ScrEv_check_luggage, 1, ScrEv_get_tree, 1
train	630	Evoking, 9
hair	606	Evoking, 1
took	580	UnrelEv, 101, RelNScrEv, 97, Evoking, 28, ScrEv_get_tools, 27, ScrEv_find_place, 26, ScrEv_take_off, 25, ScrEv_take_out_oven, 25, ScrEv_get_utensils, 17, ScrEv_take_book, 17, ScrEv_other, 16, ScrEv_go_check_out, 16, ScrEv_take_tire_off, 16, ScrEv_undress, 11, ScrEv_move_in_salon, 10, ScrEv_get_ingredients, 10, ScrEv_take_seat, 9, ScrEv_take_home, 7, ScrEv_remove_cap, 6, ScrEv_ride_bike, 6, ScrEv_remove_tire, 5, ScrEv_get_train_station, 5, ScrEv_take_shop_cart, 5, ScrEv_prepare_bath, 5, ScrEv_go_security_checks, 4, ScrEv_spend_time_train, 4, ScrEv_conductor_checks, 4, ScrEv_sit_down, 4, ScrEv_leave, 4, ScrEv_bring_vehicle, 4, ScrEv_get_airport, 4, ScrEv_go_checkout, 3, ScrEv_get_groceries, 3, ScrEv_check, 3, ScrEv_check_list, 3, ScrEv_spend_time_flight, 3, ScrEv_wait, 2, ScrEv_bus_leaves, 2, ScrEv_free_wheel, 2, ScrEv_get_receipt, 2, ScrEv_get_tree, 2, ScrEv_unwrap_root, 2, ScrEv_check_luggage, 2, ScrEv_go_grocery, 2, ScrEv_check_in, 2, ScrEv_get_ticket, 2, ScrEv_get_salon, 2, ScrEv_take_bags, 2, ScrEv_examine_tire, 1, ScrEv_pack_groceries, 1, ScrEv_present_ID/ticket, 1, ScrEv_get_tire, 1, ScrEv_look_mirror, 1, ScrEv_train_departs, 1, ScrEv_show_card, 1, ScrEv_note_shelf, 1, ScrEv_pull_air_pin, 1, ScrEv_get_library, 1, ScrEv_go_check_in, 1, ScrEv_water, 1, ScrEv_decorate, 1, ScrEv_choose_tree, 1, ScrEv_add_ingredients, 1, Unclear, 1, ScrEv_take_out_cake_tin, 1, ScrEv_open_drain, 1, ScrEv_put_conveyor, 1, ScrEv_get_tickets, 1
book	531	ScrEv_get_ticket, 2, RelNScrEv, 1, Evoking, 1, ScrEv_get_tickets, 1
back	527	Evoking, 1
have	527	UnrelEv, 214, RelNScrEv, 38, Evoking, 6, ScrEv_eat, 5, ScrEv_get_groceries, 3, ScrEv_wait, 3, ScrEv_make_list, 2, ScrEv_find_place, 2, ScrEv_spend_time_bus, 2, ScrEv_prepare_bath, 2, ScrEv_examine_tire, 1, ScrEv_obtain_card, 1, ScrEv_free_wheel, 1, ScrEv_take_book, 1, ScrEv_spend_time_flight, 1, ScrEv_get_utensils, 1, ScrEv_close_drain, 1, ScrEv_place_fertilizers, 1, ScrEv_spend_time_train, 1, ScrEv_get_ingredients, 1, Unclear, 1
water	524	ScrEv_water, 14
be	518	UnrelEv, 296, RelNScrEv, 18, ScrEv_bus_comes, 3, ScrEv_find_place, 3, ScrEv_wait, 2, ScrEv_return_book, 2, ScrEv_train_arrives, 1, ScrEv_choose_tree, 1, Evoking, 1, ScrEv_preheat, 1, ScrEv_get_bus_stop, 1, ScrEv_spend_time_bus, 1, Unclear, 1
were	510	UnrelEv, 250, RelNScrEv, 26, ScrEv_take_off, 4, ScrEv_take_off_preparations, 3, ScrEv_board_plane, 2, ScrEv_wait, 1, ScrEv_small_talk, 1, ScrEv_go_security_checks, 1, ScrEv_take_seat, 1, ScrEv_other, 1, Evoking, 1, ScrEv_train_departs, 1, ScrEv_return_book, 1, ScrEv_leave_airport, 1, Unclear, 1
go	444	UnrelEv, 138, RelNScrEv, 67, Evoking, 38, ScrEv_go_grocery, 30, ScrEv_move_section, 21, ScrEv_go_security_checks, 21, ScrEv_get_salon, 17, ScrEv_get_library, 11, ScrEv_ride_bike, 7, Unclear, 6, ScrEv_leave, 6, ScrEv_get_shelf, 5, ScrEv_other, 5, ScrEv_go_checkout, 4, ScrEv_find_terminal, 4, ScrEv_get_bus_stop, 4, ScrEv_take_off, 3, ScrEv_enter_bathroom, 3, ScrEv_get_ingredients, 3, ScrEv_enter, 2, ScrEv_sink_water, 2, ScrEv_get_train_station, 2, ScrEv_train_departs, 2, ScrEv_put_cake_oven, 2, ScrEv_check_in, 2, ScrEv_find_place, 2, ScrEv_decorate, 2, ScrEv_move_in_salon, 2, ScrEv_go_check_out, 2, ScrEv_bring_vehicle, 2, ScrEv_board_plane, 2, ScrEv_wait, 1, ScrEv_get_on, 1, ScrEv_get_airport, 1, ScrEv_leave_airport, 1, ScrEv_cashier_scan/weight, 1, ScrEv_bus_stops, 1, ScrEv_use_computer, 1, ScrEv_go_target_location, 1, ScrEv_take_out_oven, 1, ScrEv_place_root, 1, ScrEv_add_ingredients, 1, ScrEv_get_tree, 1
take	417	Evoking, 157, RelNScrEv, 69, UnrelEv, 46, ScrEv_take_off, 27, ScrEv_take_tire_off, 13, ScrEv_other, 8, ScrEv_find_place, 7, ScrEv_take_out_oven, 7, ScrEv_undress, 6, ScrEv_go_security_checks, 5, ScrEv_ride, 5, Unclear, 5, ScrEv_wait, 4, ScrEv_free_wheel, 4, ScrEv_take_book, 4, ScrEv_get_ingredients, 4, ScrEv_open_drain, 3, ScrEv_go_check_out, 3, ScrEv_ride_bike, 3, ScrEv_take_home, 2, ScrEv_train_departs, 2, ScrEv_spend_time_train, 2, ScrEv_go_grocery, 2, ScrEv_take_seat, 2, ScrEv_remove_cap, 2, ScrEv_make_list, 2, ScrEv_take_out_cake_tin, 2, ScrEv_bring_vehicle, 2, ScrEv_relax, 1, ScrEv_unwrap_root, 1, ScrEv_examine_tire, 1, ScrEv_move_section, 1, ScrEv_pay, 1, ScrEv_dig_hole, 1, ScrEv_get_bus_stop, 1, ScrEv_take_shop_cart, 1, ScrEv_sink_water, 1, ScrEv_get_tools, 1, ScrEv_prepare_ingredients, 1, ScrEv_sit_down, 1, ScrEv_put_bubble_bath_scent, 1, ScrEv_spend_time_flight, 1, ScrEv_leave, 1, ScrEv_take_bags, 1
decided	409	UnrelEv, 380, ScrEv_choose_tree, 9, RelNScrEv, 7, ScrEv_find_place, 4, ScrEv_find_bus, 2, ScrEv_choose_recipe, 1, ScrEv_check_temp, 1, Evoking, 1, ScrEv_wash, 1, ScrEv_get_groceries, 1
library	398	Evoking, 1
make	375	UnrelEv, 230, Evoking, 32, RelNScrEv, 28, ScrEv_make_list, 16, ScrEv_make_appointment, 15, ScrEv_check_new_tire, 8, ScrEv_prepare_ingredients, 6, ScrEv_check_temp, 4, ScrEv_prepare_bath, 2, ScrEv_bus_stops, 2, ScrEv_go_check_out, 2, ScrEv_take_off_preparations, 1, ScrEv_conductor_checks, 1, ScrEv_find_terminal, 1, ScrEv_get_library, 1, ScrEv_move_section, 1, ScrEv_go_security_checks, 1, ScrEv_go_grocery, 1, ScrEv_ride, 1, ScrEv_make_dough, 1, ScrEv_dig_hole, 1, ScrEv_small_talk, 1, ScrEv_other, 1, Unclear, 1, ScrEv_check_list, 1, ScrEv_get_salon, 1, ScrEv_check, 1
where	372	UnrelEv, 2, RelNScrEv, 1, ScrEv_find_place, 1
over	341	RelNScrEv, 1
not	339	Evoking, 1
's	332	UnrelEv, 95, RelNScrEv, 1
found	320	RelNScrEv, 64, ScrEv_find_place, 50, UnrelEv, 45, ScrEv_other, 18, ScrEv_take_book, 16, ScrEv_choose_recipe, 14, ScrEv_get_groceries, 12, ScrEv_get_tools, 12, ScrEv_take_seat, 10, ScrEv_examine_tire, 9, ScrEv_find_terminal, 7, ScrEv_get_shelf, 6, ScrEv_check_time-table, 6, ScrEv_prepare_bath, 6, ScrEv_find_bus, 6, ScrEv_choose_tree, 5, ScrEv_look_for_book, 4, ScrEv_notice_problem, 4, ScrEv_use_computer, 3, ScrEv_check_catalog, 3, ScrEv_get_ticket, 3, ScrEv_get_tree, 2, ScrEv_get_utensils, 2, ScrEv_get_tire, 1, Evoking, 1, ScrEv_note_shelf, 1, ScrEv_move_section, 1, ScrEv_get_bus_stop, 1, ScrEv_take_shop_cart, 1, ScrEv_go_check_in, 1, ScrEv_get_off, 1, ScrEv_go_check_out, 1, ScrEv_get_ingredients, 1, ScrEv_get_tickets, 1, ScrEv_get_platform, 1, ScrEv_check_temp, 1
do	319	UnrelEv, 166, RelNScrEv, 10, Evoking, 7, Unclear, 6, ScrEv_spend_time_flight, 1, ScrEv_other, 1, ScrEv_bring_vehicle, 1, ScrEv_get_ticket, 1, ScrEv_use_computer, 1, ScrEv_take_off_preparations, 1, ScrEv_prepare_ingredients, 1, ScrEv_get_ingredients, 1
store	317	ScrEv_stow_away_luggage, 1, RelNScrEv, 1, UnrelEv, 1
like	314	UnrelEv, 110, ScrEv_talk_haircut, 9, RelNScrEv, 2, ScrEv_get_tickets, 1, ScrEv_customer_opinion, 1
wanted	310	UnrelEv, 208, ScrEv_talk_haircut, 16, RelNScrEv, 15, ScrEv_look_for_book, 5, ScrEv_find_place, 2, ScrEv_wait, 1, ScrEv_spend_time_flight, 1, ScrEv_choose_tree, 1, Evoking, 1, ScrEv_get_off, 1
could	297	UnrelEv, 3
stop	295	ScrEv_bus_stops, 13, UnrelEv, 8, RelNScrEv, 6, ScrEv_turn_water_off, 2, ScrEv_train_arrives, 1, ScrEv_go_grocery, 1, ScrEv_other, 1, ScrEv_get_off, 1
made	294	UnrelEv, 123, RelNScrEv, 29, ScrEv_make_list, 21, ScrEv_make_appointment, 18, Evoking, 9, ScrEv_prepare_ingredients, 8, ScrEv_bus_stops, 6, ScrEv_other, 6, ScrEv_go_checkout, 4, ScrEv_small_talk, 4, ScrEv_check_temp, 4, ScrEv_move_section, 3, ScrEv_make_dough, 3, ScrEv_find_place, 3, ScrEv_listen_crew, 3, ScrEv_check_new_tire, 3, ScrEv_listen_call, 3, ScrEv_go_exit, 2, ScrEv_get_shelf, 2, ScrEv_dig_hole, 2, Unclear, 2, ScrEv_ride_bike, 2, ScrEv_get_ingredients, 2, ScrEv_wait, 1, ScrEv_go_check_in, 1, ScrEv_press_stop_button, 1, ScrEv_find_terminal, 1, ScrEv_note_shelf, 1, ScrEv_examine_tire, 1, ScrEv_spend_time_train, 1, ScrEv_go_grocery, 1, ScrEv_get_groceries, 1, ScrEv_tamp_dirt, 1, ScrEv_get_bus_stop, 1, ScrEv_find_bus, 1, ScrEv_get_destination_airport, 1, ScrEv_decorate, 1, ScrEv_spend_time_flight, 1, ScrEv_go_check_out, 1, ScrEv_leave, 1, ScrEv_get_platform, 1
needed	292	UnrelEv, 120, RelNScrEv, 58, Evoking, 5, ScrEv_get_ingredients, 5, Unclear, 4, ScrEv_talk_haircut, 2, ScrEv_get_utensils, 1, ScrEv_get_tools, 1, ScrEv_find_place, 1
bath	291	Evoking, 7
seat	287	UnrelEv, 1
did	286	UnrelEv, 73, RelNScrEv, 6, Unclear, 3, ScrEv_dig_hole, 2, ScrEv_choose_tree, 1, ScrEv_pack_groceries, 1, ScrEv_train_arrives, 1, ScrEv_use_computer, 1, ScrEv_water, 1, ScrEv_preheat, 1, ScrEv_bus_comes, 1, ScrEv_make_hair_style, 1
walked	283	UnrelEv, 36, ScrEv_get_bus_stop, 29, RelNScrEv, 25, ScrEv_enter, 25, ScrEv_move_section, 15, ScrEv_other, 12, ScrEv_get_library, 11, ScrEv_go_check_out, 9, ScrEv_board_plane, 9, ScrEv_board_bus, 8, ScrEv_find_place, 8, ScrEv_leave, 8, ScrEv_get_platform, 8, ScrEv_get_off, 7, ScrEv_move_in_salon, 6, ScrEv_get_airport, 5, ScrEv_find_terminal, 5, ScrEv_go_security_checks, 5, ScrEv_go_grocery, 5, ScrEv_get_train_station, 5, ScrEv_bring_vehicle, 5, ScrEv_go_checkout, 4, ScrEv_get_shelf, 4, ScrEv_get_plane, 4, ScrEv_enter_bathroom, 4, ScrEv_exit_plane, 4, ScrEv_conductor_checks, 3, ScrEv_go_exit, 3, ScrEv_get_on, 2, ScrEv_leave_airport, 2, ScrEv_take_seat, 2, ScrEv_spend_time_train, 1, ScrEv_move_exit, 1, ScrEv_get_destination_airport, 1, ScrEv_go_check_in, 1, ScrEv_prepare_wash, 1
can	283	UnrelEv, 9
are	267	UnrelEv, 159, RelNScrEv, 8
bike	255	ScrEv_ride_bike, 2, ScrEv_get_library, 1, Evoking, 1
looked	245	UnrelEv, 83, RelNScrEv, 47, ScrEv_look_for_book, 17, ScrEv_check_time-table, 13, ScrEv_choose_recipe, 10, ScrEv_spend_time_flight, 8, ScrEv_look_mirror, 7, ScrEv_spend_time_train, 6, ScrEv_use_computer, 6, ScrEv_other, 6, ScrEv_spend_time_bus, 4, ScrEv_find_place, 4, ScrEv_find_bus, 4, ScrEv_customer_opinion, 4, ScrEv_check_list, 4, ScrEv_examine_tire, 3, ScrEv_check_catalog, 3, ScrEv_check, 3, ScrEv_get_ingredients, 3, ScrEv_choose_tree, 2, ScrEv_wait, 1, ScrEv_go_security_checks, 1, ScrEv_set_time, 1, ScrEv_get_shelf, 1, ScrEv_notice_problem, 1, ScrEv_browse_releases, 1, ScrEv_check_new_tire, 1
ride	236	Evoking, 58, ScrEv_ride_bike, 30, ScrEv_ride, 11, RelNScrEv, 2
before	233	UnrelEv, 1
cut	229	ScrEv_cut, 93, UnrelEv, 7, Evoking, 7, RelNScrEv, 4, ScrEv_eat, 4, ScrEv_other, 3, ScrEv_unwrap_root, 3, ScrEv_prepare_ingredients, 1, ScrEv_decorate, 1
see	228	UnrelEv, 131, RelNScrEv, 23, ScrEv_examine_tire, 10, ScrEv_look_mirror, 9, ScrEv_check_time-table, 7, ScrEv_check_new_tire, 6, ScrEv_spend_time_train, 6, ScrEv_look_for_book, 5, ScrEv_spend_time_flight, 3, ScrEv_conductor_checks, 3, ScrEv_check, 2, ScrEv_spend_time_bus, 2, ScrEv_find_bus, 1, Evoking, 1, ScrEv_notice_problem, 1, ScrEv_browse_releases, 1, ScrEv_check_list, 1, ScrEv_get_called, 1
started	226	UnrelEv, 195, ScrEv_turn_water_on, 4, ScrEv_train_departs, 3, ScrEv_move_section, 1, ScrEv_make_list, 1, ScrEv_prepare_ingredients, 1, ScrEv_other, 1, ScrEv_take_off_preparations, 1, ScrEv_landing, 1, ScrEv_dig_hole, 1, ScrEv_look_for_book, 1, ScrEv_take_off, 1
new	226	UnrelEv, 1
flight	221	Evoking, 1
need	211	UnrelEv, 67, RelNScrEv, 50, Unclear, 2, ScrEv_make_appointment, 1, Evoking, 1, ScrEv_get_utensils, 1, ScrEv_get_tools, 1, ScrEv_get_ingredients, 1
find	203	RelNScrEv, 51, UnrelEv, 39, ScrEv_find_place, 22, ScrEv_look_for_book, 16, ScrEv_examine_tire, 9, ScrEv_get_groceries, 9, ScrEv_take_book, 6, ScrEv_other, 5, ScrEv_choose_recipe, 4, ScrEv_find_terminal, 4, ScrEv_get_tools, 4, ScrEv_check_time-table, 4, ScrEv_choose_tree, 4, ScrEv_use_computer, 3, ScrEv_get_shelf, 3, ScrEv_go_checkout, 2, Evoking, 2, ScrEv_notice_problem, 2, ScrEv_get_ticket, 1, ScrEv_cashier_scan/weight, 1, ScrEv_get_salon, 1, ScrEv_meet_people, 1, ScrEv_get_train_station, 1, ScrEv_get_utensils, 1, ScrEv_find_bus, 1, ScrEv_take_seat, 1, ScrEv_check_list, 1, ScrEv_get_ingredients, 1, ScrEv_prepare_bath, 1
read	202	RelNScrEv, 141, ScrEv_spend_time_flight, 14, UnrelEv, 11, ScrEv_spend_time_train, 9, ScrEv_spend_time_bus, 9, ScrEv_other, 6, ScrEv_relax, 2, ScrEv_choose_recipe, 2, ScrEv_choose_tree, 1, ScrEv_get_ticket, 1, ScrEv_take_off_preparations, 1, ScrEv_pay, 1
told	202	UnrelEv, 73, RelNScrEv, 48, ScrEv_talk_haircut, 35, ScrEv_check_in, 10, ScrEv_listen_crew, 9, ScrEv_customer_opinion, 5, ScrEv_ask_librarian, 5, ScrEv_listen_call, 4, ScrEv_small_talk, 3, ScrEv_make_appointment, 2, ScrEv_examine_tire, 1, ScrEv_use_computer, 1, ScrEv_other, 1, ScrEv_take_off_preparations, 1, ScrEv_get_tickets, 1, ScrEv_get_receipt, 1
done	201	UnrelEv, 101, RelNScrEv, 22, ScrEv_wait, 12, Unclear, 4, ScrEv_check, 3, ScrEv_talk_haircut, 2, ScrEv_make_list, 1, ScrEv_go_security_checks, 1, ScrEv_present_boarding_pass, 1, ScrEv_spend_time_train, 1, Evoking, 1, ScrEv_get_groceries, 1, ScrEv_decorate, 1
shopping	198	ScrEv_get_groceries, 57, Evoking, 6, UnrelEv, 4, RelNScrEv, 3, ScrEv_get_ingredients, 1
people	197	ScrEv_spend_time_train, 1
waited	188	ScrEv_wait, 136, ScrEv_wait_boarding, 29, RelNScrEv, 9, UnrelEv, 7, ScrEv_fill_water/wait, 3, ScrEv_spend_time_bus, 2, ScrEv_ride, 2
list	186	ScrEv_make_list, 1
going	185	UnrelEv, 41, RelNScrEv, 25, Evoking, 10, ScrEv_go_grocery, 7, ScrEv_move_section, 2, ScrEv_get_salon, 2, ScrEv_take_off, 2, Unclear, 2, ScrEv_go_security_checks, 2, ScrEv_other, 1, ScrEv_ride_bike, 1, ScrEv_take_off_preparations, 1, ScrEv_get_train_station, 1, ScrEv_landing, 1, ScrEv_get_platform, 1, ScrEv_go_check_in, 1, ScrEv_get_library, 1
work	185	UnrelEv, 18, RelNScrEv, 6, ScrEv_move_section, 3, ScrEv_take_tire_off, 1, ScrEv_dig_hole, 1
