 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My wife and I were flying to New York City for a vacation .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
5-14	before	O	O	O	_	_	
5-15	long	O	O	O	_	_	
5-16	the	O	O	O	_	_	
5-17	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	3-18	
5-18	was	O	O	O	_	_	
5-19	taxiing	O	O	B-ScrEv_take_off_preparations	_	_	
5-20	down	O	O	O	_	_	
5-21	the	O	O	O	_	_	
5-22	runway	B-webanno.custom.Participants_	B-ScrPart_location_airplane	O	_	_	
5-23	.	O	O	O	_	_	

#id=6
#text=When the plane lifted off , I could feel it tilt to one side and then right itself again .
6-1	When	O	O	O	_	_	
6-2	the	O	O	O	_	_	
6-3	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	5-17	
6-4	lifted	O	O	B-ScrEv_take_off	_	_	
6-5	off	O	O	I-ScrEv_take_off	_	_	
6-6	,	O	O	O	_	_	
6-7	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-4	
6-8	could	O	O	O	_	_	
6-9	feel	O	O	B-UnrelEv	_	_	
6-10	it	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	6-3	
6-11	tilt	O	O	B-RelNScrEv	_	_	
6-12	to	O	O	O	_	_	
6-13	one	O	O	O	_	_	
6-14	side	O	O	O	_	_	
6-15	and	O	O	O	_	_	
6-16	then	O	O	O	_	_	
6-17	right	O	O	B-RelNScrEv	_	_	
6-18	itself	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	6-10	
6-19	again	O	O	O	_	_	
6-20	.	O	O	O	_	_	

#id=7
#text=It was fun looking out of the window and seeing the world below get smaller and smaller , then disappear as we climbed above the clouds .
7-1	It	O	O	O	_	_	
7-2	was	O	O	B-UnrelEv	_	_	
7-3	fun	O	O	O	_	_	
7-4	looking	O	O	B-ScrEv_spend_time_flight	_	_	
7-5	out	O	O	O	_	_	
7-6	of	O	O	O	_	_	
7-7	the	O	O	O	_	_	
7-8	window	B-webanno.custom.Participants_	B-NPart	O	_	_	
7-9	and	O	O	O	_	_	
7-10	seeing	O	O	B-ScrEv_spend_time_flight	_	_	
7-11	the	O	O	O	_	_	
7-12	world	B-webanno.custom.Participants_	B-NPart	O	_	_	
7-13	below	O	O	O	_	_	
7-14	get	O	O	B-UnrelEv	_	_	
7-15	smaller	O	O	O	_	_	
7-16	and	O	O	O	_	_	
7-17	smaller	O	O	O	_	_	
7-18	,	O	O	O	_	_	
7-19	then	O	O	O	_	_	
7-20	disappear	O	O	B-UnrelEv	_	_	
7-21	as	O	O	O	_	_	
7-22	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-16	
7-23	climbed	O	O	B-MissScrEv	_	_	
7-24	above	O	O	O	_	_	
7-25	the	O	O	O	_	_	
7-26	clouds	B-webanno.custom.Participants_	B-NPart	O	_	_	
7-27	.	O	O	O	_	_	

#id=8
#text=We both enjoyed the plane ride a great deal .
8-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-22	
8-2	both	O	O	O	_	_	
8-3	enjoyed	O	O	B-UnrelEv	_	_	
8-4	the	O	O	O	_	_	
8-5	plane	B-webanno.custom.Participants_	B-ScrPart_flight	O	_	_	
8-6	ride	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_flight|B-ScrPart_flight	O	_	_	
8-7	a	O	O	O	_	_	
8-8	great	O	O	O	_	_	
8-9	deal	O	O	O	_	_	
8-10	.	O	O	O	_	_	

#id=9
#text=A flight attendant offered us drinks and snacks , and we had some orange soda and complimentary peanuts .
9-1	A	O	O	O	_	_	
9-2	flight	B-webanno.custom.Participants_	B-ScrPart_staff	O	_	_	
9-3	attendant	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_staff|B-ScrPart_staff	O	_	_	
9-4	offered	O	O	B-RelNScrEv	_	_	
9-5	us	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	8-1	
9-6	drinks	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	_	_	
9-7	and	O	O	O	_	_	
9-8	snacks	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	_	_	
9-9	,	O	O	O	_	_	
9-10	and	O	O	O	_	_	
9-11	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	9-5	
9-12	had	O	O	B-ScrEv_spend_time_flight	_	_	
9-13	some	O	O	O	_	_	
9-14	orange	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	_	_	
9-15	soda	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_in-flight_entertainment|B-ScrPart_in-flight_entertainment	O	_	_	
9-16	and	O	O	O	_	_	
9-17	complimentary	O	O	O	_	_	
9-18	peanuts	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	_	_	
9-19	.	O	O	O	_	_	

#id=10
#text=Soon the flight was over , and it was time to disembark .
10-1	Soon	O	O	O	_	_	
10-2	the	O	O	O	_	_	
10-3	flight	B-webanno.custom.Participants_	B-ScrPart_flight	O	webanno.custom.Corefchains_	8-6	
10-4	was	O	O	B-UnrelEv	_	_	
10-5	over	O	O	O	_	_	
10-6	,	O	O	O	_	_	
10-7	and	O	O	O	_	_	
10-8	it	O	O	O	_	_	
10-9	was	O	O	O	_	_	
10-10	time	O	O	O	_	_	
10-11	to	O	O	O	_	_	
10-12	disembark	O	O	B-ScrEv_exit_plane	_	_	
10-13	.	O	O	O	_	_	

#id=11
#text=We had enjoyed the airplane ride . 
11-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	9-11	
11-2	had	O	O	O	_	_	
11-3	enjoyed	O	O	B-UnrelEv	_	_	
11-4	the	O	O	O	_	_	
11-5	airplane	B-webanno.custom.Participants_	B-ScrPart_flight	O	_	_	
11-6	ride	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_flight|B-ScrPart_flight	O	webanno.custom.Corefchains_	10-3	
11-7	.	O	O	O	_	_	

