 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My sons and I were invited by their grandmother to come for a visit .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	_	_	
7-3	headed	O	O	B-ScrEv_find_terminal	_	_	
7-4	upstairs	B-webanno.custom.Participants_	B-NPart	O	_	_	
7-5	to	O	O	O	_	_	
7-6	the	O	O	O	_	_	
7-7	airplane	B-webanno.custom.Participants_	B-ScrPart_terminal/gate	O	_	_	
7-8	gate	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_terminal/gate|B-ScrPart_terminal/gate	O	_	_	
7-9	.	O	O	O	_	_	

#id=8
#text=There were many people flying on this plane and the waiting room was crowded .
8-1	There	B-webanno.custom.Participants_	B-ScrPart_terminal/gate	O	webanno.custom.Corefchains_	7-8	
8-2	were	O	O	B-UnrelEv	_	_	
8-3	many	O	O	O	_	_	
8-4	people	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
8-5	flying	O	O	B-Evoking	_	_	
8-6	on	O	O	I-Evoking	_	_	
8-7	this	O	O	I-Evoking	_	_	
8-8	plane	O	O	I-Evoking	_	_	
8-9	and	O	O	O	_	_	
8-10	the	O	O	O	_	_	
8-11	waiting	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
8-12	room	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-MissScrPart|B-MissScrPart	O	_	_	
8-13	was	O	O	O	_	_	
8-14	crowded	O	O	B-UnrelEv	_	_	
8-15	.	O	O	O	_	_	

#id=9
#text=Then the plane pulled in next to the gate and the flight attendant started calling people over to board the plane .
9-1	Then	O	O	O	_	_	
9-2	the	O	O	O	_	_	
9-3	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	_	_	
9-4	pulled	O	O	B-MissScrEv|B-MissScrEv	_	_	
9-5	in	O	O	I-MissScrEv	_	_	
9-6	next	O	O	O	_	_	
9-7	to	O	O	O	_	_	
9-8	the	O	O	O	_	_	
9-9	gate	B-webanno.custom.Participants_	B-ScrPart_terminal/gate	O	webanno.custom.Corefchains_	7-8	
9-10	and	O	O	O	_	_	
9-11	the	O	O	O	_	_	
9-12	flight	B-webanno.custom.Participants_	B-ScrPart_staff	O	_	_	
9-13	attendant	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_staff|B-ScrPart_staff	O	_	_	
9-14	started	O	O	B-UnrelEv	_	_	
9-15	calling	O	O	B-ScrEv_listen_call	_	_	
9-16	people	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
9-17	over	O	O	O	_	_	
9-18	to	O	O	O	_	_	
9-19	board	O	O	B-ScrEv_board_plane	_	_	
9-20	the	O	O	O	_	_	
9-21	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	9-3	
9-22	.	O	O	O	_	_	

#id=10
#text=We were near last to get on the plane .
10-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-2	
10-2	were	O	O	B-UnrelEv	_	_	
10-3	near	O	O	O	_	_	
10-4	last	O	O	O	_	_	
10-5	to	O	O	O	_	_	
10-6	get	O	O	B-ScrEv_board_plane|B-ScrEv_board_plane	_	_	
10-7	on	O	O	I-ScrEv_board_plane	_	_	
10-8	the	O	O	O	_	_	
10-9	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	9-21	
10-10	.	O	O	O	_	_	

#id=11
#text=Once on the plane we found our seats and sat down .
11-1	Once	O	O	O	_	_	
11-2	on	O	O	O	_	_	
11-3	the	O	O	O	_	_	
11-4	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	10-9	
11-5	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	10-1	
11-6	found	O	O	B-MissScrEv	_	_	
11-7	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	11-5	
11-8	seats	B-webanno.custom.Participants_	B-ScrPart_seat	O	_	_	
11-9	and	O	O	O	_	_	
11-10	sat	O	O	B-ScrEv_take_seat|B-ScrEv_take_seat	_	_	
11-11	down	O	O	I-ScrEv_take_seat	_	_	
11-12	.	O	O	O	_	_	

#id=12
#text=After the plane took off the stewardess did a demonstration about how to use the emergency exits .
12-1	After	O	O	O	_	_	
12-2	the	O	O	O	_	_	
12-3	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	11-4	
12-4	took	O	O	B-ScrEv_take_off|B-ScrEv_take_off	_	_	
12-5	off	O	O	I-ScrEv_take_off	_	_	
12-6	the	O	O	O	_	_	
12-7	stewardess	B-webanno.custom.Participants_	B-ScrPart_staff	O	_	_	
12-8	did	O	O	B-RelNScrEv	_	_	
12-9	a	O	O	O	_	_	
12-10	demonstration	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
12-11	about	O	O	O	_	_	
12-12	how	O	O	O	_	_	
12-13	to	O	O	O	_	_	
12-14	use	O	O	B-RelNScrEv	_	_	
12-15	the	O	O	O	_	_	
12-16	emergency	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
12-17	exits	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-MissScrPart|B-MissScrPart	O	_	_	
12-18	.	O	O	O	_	_	

#id=13
#text=Then we sat back and flew all the way to Reno , NV where we were picked up from the airport by grandma . 
13-1	Then	O	O	O	_	_	
13-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	11-7	
13-3	sat	O	O	B-UnrelEv|B-UnrelEv	_	_	
13-4	back	O	O	I-UnrelEv	_	_	
13-5	and	O	O	O	_	_	
13-6	flew	O	O	B-RelNScrEv	_	_	
13-7	all	O	O	O	_	_	
13-8	the	O	O	O	_	_	
13-9	way	B-webanno.custom.Participants_	B-NPart	O	_	_	
13-10	to	O	O	O	_	_	
13-11	Reno	B-webanno.custom.Participants_	B-ScrPart_target_location	O	_	_	
13-12	,	O	O	O	_	_	
13-13	NV	O	O	O	_	_	
13-14	where	O	O	O	_	_	
13-15	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	webanno.custom.Corefchains_	13-2	
13-16	were	O	O	O	_	_	
13-17	picked	O	O	B-ScrEv_meet_people|B-ScrEv_meet_people	_	_	
13-18	up	O	O	I-ScrEv_meet_people	_	_	
13-19	from	O	O	O	_	_	
13-20	the	O	O	O	_	_	
13-21	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	_	_	
13-22	by	O	O	O	_	_	
13-23	grandma	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	webanno.custom.Corefchains_	1-9	
13-24	.	O	O	O	_	_	

