 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events
#id=1
#text=My sons and I were invited by their grandmother to come for a visit .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	
8-10	the	O	O	O	
8-11	waiting	B-webanno.custom.Participants_	B-ScrPart_other	O	
8-12	room	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_other|B-ScrPart_other	O	
8-13	was	O	O	O	
8-14	crowded	O	O	B-UnrelEv	
8-15	.	O	O	O	

#id=9
#text=Then the plane pulled in next to the gate and the flight attendant started calling people over to board the plane .
9-1	Then	O	O	O	
9-2	the	O	O	O	
9-3	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
9-4	pulled	O	O	B-ScrEv_other|B-ScrEv_other	
9-5	in	O	O	I-ScrEv_other	
9-6	next	O	O	O	
9-7	to	O	O	O	
9-8	the	O	O	O	
9-9	gate	B-webanno.custom.Participants_	B-ScrPart_terminal/gate	O	
9-10	and	O	O	O	
9-11	the	O	O	O	
9-12	flight	B-webanno.custom.Participants_	B-ScrPart_staff	O	
9-13	attendant	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_staff|B-ScrPart_staff	O	
9-14	started	O	O	B-UnrelEv	
9-15	calling	O	O	B-ScrEv_listen_call	
9-16	people	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
9-17	over	O	O	O	
9-18	to	O	O	O	
9-19	board	O	O	B-ScrEv_board_plane	
9-20	the	O	O	O	
9-21	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
9-22	.	O	O	O	

#id=10
#text=We were near last to get on the plane .
10-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
10-2	were	O	O	B-UnrelEv	
10-3	near	O	O	O	
10-4	last	O	O	O	
10-5	to	O	O	O	
10-6	get	O	O	B-ScrEv_board_plane|B-ScrEv_board_plane	
10-7	on	O	O	I-ScrEv_board_plane	
10-8	the	O	O	O	
10-9	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
10-10	.	O	O	O	

#id=11
#text=Once on the plane we found our seats and sat down .
11-1	Once	O	O	O	
11-2	on	O	O	O	
11-3	the	O	O	O	
11-4	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
11-5	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
11-6	found	O	O	B-ScrEv_other	
11-7	our	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
11-8	seats	B-webanno.custom.Participants_	B-ScrPart_seat	O	
11-9	and	O	O	O	
11-10	sat	O	O	B-ScrEv_take_seat|B-ScrEv_take_seat	
11-11	down	O	O	I-ScrEv_take_seat	
11-12	.	O	O	O	

#id=12
#text=After the plane took off the stewardess did a demonstration about how to use the emergency exits .
12-1	After	O	O	O	
12-2	the	O	O	O	
12-3	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	
12-4	took	O	O	B-ScrEv_take_off|B-ScrEv_take_off	
12-5	off	O	O	I-ScrEv_take_off	
12-6	the	O	O	O	
12-7	stewardess	B-webanno.custom.Participants_	B-ScrPart_staff	O	
12-8	did	O	O	B-RelNScrEv	
12-9	a	O	O	O	
12-10	demonstration	B-webanno.custom.Participants_	B-ScrPart_safety_instructions	O	
12-11	about	O	O	O	
12-12	how	O	O	O	
12-13	to	O	O	O	
12-14	use	O	O	B-RelNScrEv	
12-15	the	O	O	O	
12-16	emergency	B-webanno.custom.Participants_	B-ScrPart_location_airplane_indoor	O	
12-17	exits	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_location_airplane_indoor|B-ScrPart_location_airplane_indoor	O	
12-18	.	O	O	O	

#id=13
#text=Then we sat back and flew all the way to Reno , NV where we were picked up from the airport by grandma . 
13-1	Then	O	O	O	
13-2	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
13-3	sat	O	O	B-UnrelEv|B-UnrelEv	
13-4	back	O	O	I-UnrelEv	
13-5	and	O	O	O	
13-6	flew	O	O	B-RelNScrEv	
13-7	all	O	O	O	
13-8	the	O	O	O	
13-9	way	B-webanno.custom.Participants_	B-No_label	O	
13-10	to	O	O	O	
13-11	Reno	B-webanno.custom.Participants_	B-ScrPart_target_location	O	
13-12	,	O	O	O	
13-13	NV	B-webanno.custom.Participants_	B-NPart	O	
13-14	where	O	O	O	
13-15	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
13-16	were	O	O	O	
13-17	picked	O	O	B-ScrEv_meet_people|B-ScrEv_meet_people	
13-18	up	O	O	I-ScrEv_meet_people	
13-19	from	O	O	O	
13-20	the	O	O	O	
13-21	airport	B-webanno.custom.Participants_	B-ScrPart_airport	O	
13-22	by	O	O	O	
13-23	grandma	B-webanno.custom.Participants_	B-ScrPart_accomp_person	O	
13-24	.	O	O	O	

