 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events
#id=1
#text=My wife and I were flying to New York City for a vacation .
1-1	My	B-webanno.custom.Participants_|B-webanno.custom.Participants_	B-ScrPart_passenger|B-ScrPart_passenger	O	
6-7	I	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
6-8	could	O	O	O	
6-9	feel	O	O	B-UnrelEv	
6-10	it	B-webanno.custom.Participants_	B-ScrPart_plane	O	
6-11	tilt	O	O	B-RelNScrEv	
6-12	to	O	O	O	
6-13	one	O	O	O	
6-14	side	B-webanno.custom.Participants_	B-NPart	O	
6-15	and	O	O	O	
6-16	then	O	O	O	
6-17	right	O	O	B-RelNScrEv	
6-18	itself	B-webanno.custom.Participants_	B-ScrPart_plane	O	
6-19	again	O	O	O	
6-20	.	O	O	O	

#id=7
#text=It was fun looking out of the window and seeing the world below get smaller and smaller , then disappear as we climbed above the clouds .
7-1	It	B-webanno.custom.Participants_	B-No_label	O	
7-2	was	O	O	B-UnrelEv	
7-3	fun	B-webanno.custom.Participants_	B-No_label	O	
7-4	looking	O	O	B-ScrEv_spend_time_flight	
7-5	out	O	O	O	
7-6	of	O	O	O	
7-7	the	O	O	O	
7-8	window	B-webanno.custom.Participants_	B-NPart	O	
7-9	and	O	O	O	
7-10	seeing	O	O	B-ScrEv_spend_time_flight	
7-11	the	O	O	O	
7-12	world	B-webanno.custom.Participants_	B-NPart	O	
7-13	below	O	O	O	
7-14	get	O	O	B-UnrelEv	
7-15	smaller	O	O	O	
7-16	and	O	O	O	
7-17	smaller	O	O	O	
7-18	,	O	O	O	
7-19	then	O	O	O	
7-20	disappear	O	O	B-UnrelEv	
7-21	as	O	O	O	
7-22	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
7-23	climbed	O	O	B-ScrEv_other	
7-24	above	O	O	O	
7-25	the	O	O	O	
7-26	clouds	B-webanno.custom.Participants_	B-NPart	O	
7-27	.	O	O	O	

#id=8
#text=We both enjoyed the plane ride a great deal .
8-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
8-2	both	O	O	O	
8-3	enjoyed	O	O	B-UnrelEv	
8-4	the	O	O	O	
8-5	plane	B-webanno.custom.Participants_	B-ScrPart_flight	O	
8-6	ride	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_flight|B-ScrPart_flight	O	
8-7	a	O	O	O	
8-8	great	O	O	O	
8-9	deal	B-webanno.custom.Participants_	B-No_label	O	
8-10	.	O	O	O	

#id=9
#text=A flight attendant offered us drinks and snacks , and we had some orange soda and complimentary peanuts .
9-1	A	O	O	O	
9-2	flight	B-webanno.custom.Participants_	B-ScrPart_staff	O	
9-3	attendant	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_staff|B-ScrPart_staff	O	
9-4	offered	O	O	B-RelNScrEv	
9-5	us	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
9-6	drinks	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	
9-7	and	O	O	O	
9-8	snacks	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	
9-9	,	O	O	O	
9-10	and	O	O	O	
9-11	we	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
9-12	had	O	O	B-ScrEv_spend_time_flight	
9-13	some	O	O	O	
9-14	orange	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	
9-15	soda	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_in-flight_entertainment|B-ScrPart_in-flight_entertainment	O	
9-16	and	O	O	O	
9-17	complimentary	O	O	O	
9-18	peanuts	B-webanno.custom.Participants_	B-ScrPart_in-flight_entertainment	O	
9-19	.	O	O	O	

#id=10
#text=Soon the flight was over , and it was time to disembark .
10-1	Soon	O	O	O	
10-2	the	O	O	O	
10-3	flight	B-webanno.custom.Participants_	B-ScrPart_flight	O	
10-4	was	O	O	B-UnrelEv	
10-5	over	O	O	O	
10-6	,	O	O	O	
10-7	and	O	O	O	
10-8	it	B-webanno.custom.Participants_	B-No_label	O	
10-9	was	O	O	O	
10-10	time	B-webanno.custom.Participants_	B-No_label	O	
10-11	to	O	O	O	
10-12	disembark	O	O	B-ScrEv_exit_plane	
10-13	.	O	O	O	

#id=11
#text=We had enjoyed the airplane ride . 
11-1	We	B-webanno.custom.Participants_	B-ScrPart_passenger	O	
11-2	had	O	O	O	
11-3	enjoyed	O	O	B-UnrelEv	
11-4	the	O	O	O	
11-5	airplane	B-webanno.custom.Participants_	B-ScrPart_flight	O	
11-6	ride	I-webanno.custom.Participants_|B-webanno.custom.Participants_	I-ScrPart_flight|B-ScrPart_flight	O	
11-7	.	O	O	O	

