 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My husband always wanted a lemon tree because he loves lemons .
1-1	My	B-ScrPart_gardener	O	coref_group_I_persons	2-4	
5-8	yard	I-ScrPart_location_garden|B-ScrPart_location_garden	O	webanno.custom.Corefchains_	6-16	
5-9	and	O	O	_	_	
5-10	he	B-ScrPart_gardener	O	webanno.custom.Corefchains_|coref_group_we_husband	11-1|6-1	
5-11	was	O	O	_	_	
5-12	very	O	O	_	_	
5-13	surprised	O	B-UnrelEv	_	_	
5-14	.	O	O	_	_	

#id=6
#text=We all pitched in and dug up a big circle of grass in the back yard .
6-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	7-1	
6-2	all	O	O	_	_	
6-3	pitched	O	B-UnrelEv	_	_	
6-4	in	O	I-UnrelEv	_	_	
6-5	and	O	O	_	_	
6-6	dug	O	B-ScrEv_dug_hole	_	_	
6-7	up	O	I-ScrEv_dug_hole	_	_	
6-8	a	O	O	_	_	
6-9	big	O	O	_	_	
6-10	circle	B-ScrPart_hole	O	webanno.custom.Corefchains_	7-5	
6-11	of	O	O	_	_	
6-12	grass	O	O	_	_	
6-13	in	O	O	_	_	
6-14	the	O	O	_	_	
6-15	back	B-ScrPart_location_garden	O	_	_	
6-16	yard	I-ScrPart_location_garden|B-ScrPart_location_garden	O	_	_	
6-17	.	O	O	_	_	

#id=7
#text=We dug a big hole and put the tree in it .
7-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	8-3	
7-2	dug	O	B-ScrEv_dug_hole	_	_	
7-3	a	O	O	_	_	
7-4	big	O	O	_	_	
7-5	hole	B-ScrPart_hole	O	webanno.custom.Corefchains_	7-11	
7-6	and	O	O	_	_	
7-7	put	O	B-ScrEv_place_root	_	_	
7-8	the	O	O	_	_	
7-9	tree	B-ScrPart_tree	O	webanno.custom.Corefchains_	9-20	
7-10	in	O	O	_	_	
7-11	it	B-ScrPart_hole	O	webanno.custom.Corefchains_	8-5	
7-12	.	O	O	_	_	

#id=8
#text=Using shovels we filled it in with some good purchased dirt that the nursery recommended .
8-1	Using	O	B-ScrEv_get_tools	_	_	
8-2	shovels	B-ScrPart_gardening_tool	O	_	_	
8-3	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	9-1	
8-4	filled	O	B-ScrEv_refill_hole	_	_	
8-5	it	B-ScrPart_hole	O	_	_	
8-6	in	O	O	_	_	
8-7	with	O	O	_	_	
8-8	some	O	O	_	_	
8-9	good	O	O	_	_	
8-10	purchased	O	B-ScrEv_get_tools	_	_	
8-11	dirt	B-ScrPart_dirt	O	webanno.custom.Corefchains_	8-12	
8-12	that	B-ScrPart_dirt	O	_	_	
8-13	the	O	O	_	_	
8-14	nursery	B-ScrPart_shop	O	_	_	
8-15	recommended	O	B-UnrelEv	_	_	
8-16	.	O	O	_	_	

#id=9
#text=We got a bunch of bricks that were laying around against the fence and lined the bricks all around it .
9-1	We	B-ScrPart_gardener	O	_	_	
9-2	got	O	B-ScrEv_get_tools	_	_	
9-3	a	O	O	_	_	
9-4	bunch	O	O	_	_	
9-5	of	O	O	_	_	
9-6	bricks	B-ScrPart_stake	O	webanno.custom.Corefchains_	9-7	
9-7	that	B-ScrPart_stake	O	webanno.custom.Corefchains_	9-17	
9-8	were	O	O	_	_	
9-9	laying	O	B-UnrelEv	_	_	
9-10	around	O	O	_	_	
9-11	against	O	O	_	_	
9-12	the	O	O	_	_	
9-13	fence	O	O	_	_	
9-14	and	O	O	_	_	
9-15	lined	O	B-ScrEv_tie_stakes_up	_	_	
9-16	the	O	O	_	_	
9-17	bricks	B-ScrPart_stake	O	_	_	
9-18	all	O	O	_	_	
9-19	around	O	O	_	_	
9-20	it	B-ScrPart_tree	O	webanno.custom.Corefchains_	10-8	
9-21	.	O	O	_	_	

#id=10
#text=It 's been a year now and he has quite a few big green lemons .
10-1	It	O	O	_	_	
10-2	's	O	O	_	_	
10-3	been	O	B-UnrelEv	_	_	
10-4	a	O	O	_	_	
10-5	year	O	O	_	_	
10-6	now	O	O	_	_	
10-7	and	O	O	_	_	
10-8	he	B-ScrPart_tree	O	_	_	
10-9	has	O	B-UnrelEv	_	_	
10-10	quite	O	O	_	_	
10-11	a	O	O	_	_	
10-12	few	O	O	_	_	
10-13	big	O	O	_	_	
10-14	green	O	O	_	_	
10-15	lemons	O	O	_	_	
10-16	.	O	O	_	_	

#id=11
#text=He ate one the other day even though it was n't ripe .
11-1	He	B-ScrPart_gardener	O	webanno.custom.Corefchains_	12-1	
11-2	ate	O	B-UnrelEv	_	_	
11-3	one	O	O	_	_	
11-4	the	O	O	_	_	
11-5	other	O	O	_	_	
11-6	day	O	O	_	_	
11-7	even	O	O	_	_	
11-8	though	O	O	_	_	
11-9	it	O	O	_	_	
11-10	was	O	B-UnrelEv	_	_	
11-11	n't	O	O	_	_	
11-12	ripe	O	O	_	_	
11-13	.	O	O	_	_	

#id=12
#text=He said it was good . 
12-1	He	B-ScrPart_gardener	O	_	_	
12-2	said	O	B-UnrelEv	_	_	
12-3	it	O	O	_	_	
12-4	was	O	B-UnrelEv	_	_	
12-5	good	O	O	_	_	
12-6	.	O	O	_	_	

