 # webanno.custom.Participants | Participant # webanno.custom.Events | Events
#id=1
#text=I went to the corner market with my list of things I needed to buy .
#text=I got eggs and placed them in the cart 's basket so they would n't get broken .
5-1	I	B-ScrPart_shopper	O	
5-2	got	O	B-ScrEv_get_groceries	
5-3	eggs	B-ScrPart_groceries	O	
5-4	and	O	O	
5-5	placed	O	B-ScrEv_get_groceries	
5-6	them	B-ScrPart_groceries	O	
5-7	in	O	O	
5-8	the	O	O	
5-9	cart	B-ScrPart_shopping_cart/basket	O	
5-10	's	O	O	
5-11	basket	B-ScrPart_shopping_cart/basket	O	
5-12	so	O	O	
5-13	they	B-ScrPart_groceries	O	
5-14	would	O	O	
5-15	n't	O	O	
5-16	get	O	O	
5-17	broken	O	B-UnrelEv	
5-18	.	O	O	

#id=6
#text=All other items were tossed in the cart .
6-1	All	O	O	
6-2	other	O	O	
6-3	items	B-ScrPart_groceries	O	
6-4	were	O	O	
6-5	tossed	O	B-ScrEv_get_groceries	
6-6	in	O	O	
6-7	the	O	O	
6-8	cart	B-ScrPart_shopping_cart/basket	O	
6-9	.	O	O	

#id=7
#text=After I got everything on my list , I rolled the cart to the cashier .
7-1	After	O	O	
7-2	I	B-ScrPart_shopper	O	
7-3	got	O	B-ScrEv_get_groceries	
7-4	everything	B-ScrPart_groceries	O	
7-5	on	O	O	
7-6	my	B-ScrPart_shopper	O	
7-7	list	B-ScrPart_grocery_list	O	
7-8	,	O	O	
7-9	I	B-ScrPart_shopper	O	
7-10	rolled	O	B-ScrEv_go_checkout	
7-11	the	O	O	
7-12	cart	B-ScrPart_shopping_cart/basket	O	
7-13	to	O	O	
7-14	the	O	O	
7-15	cashier	B-ScrPart_grocery_staff	O	
7-16	.	O	O	

#id=8
#text=He scanned all my products and gave me a final , total price .
8-1	He	B-ScrPart_grocery_staff	O	
8-2	scanned	O	B-ScrEv_cashier_scan/weight	
8-3	all	O	O	
8-4	my	B-ScrPart_shopper	O	
8-5	products	B-ScrPart_groceries	O	
8-6	and	O	O	
8-7	gave	O	B-ScrEv_get_receipt	
8-8	me	B-ScrPart_shopper	O	
8-9	a	O	O	
8-10	final	O	O	
8-11	,	O	O	
8-12	total	O	O	
8-13	price	B-ScrPart_price	O	
8-14	.	O	O	

#id=9
#text=A grocery bagger put all of my items in paper bags .
9-1	A	O	O	
9-2	grocery	B-ScrPart_grocery_staff	O	
9-3	bagger	I-ScrPart_grocery_staff|B-ScrPart_grocery_staff	O	
9-4	put	O	B-ScrEv_pack_groceries	
9-5	all	O	O	
9-6	of	O	O	
9-7	my	B-ScrPart_shopper	O	
9-8	items	B-ScrPart_groceries	O	
9-9	in	O	O	
9-10	paper	B-ScrPart_shopping_bags	O	
9-11	bags	I-ScrPart_shopping_bags|B-ScrPart_shopping_bags	O	
9-12	.	O	O	

#id=10
#text=I paid the cashier in cash and he gave me change .
10-1	I	B-ScrPart_shopper	O	
10-2	paid	O	B-ScrEv_pay	
10-3	the	O	O	
10-4	cashier	B-ScrPart_grocery_staff	O	
10-5	in	O	O	
10-6	cash	B-ScrPart_payment_means	O	
10-7	and	O	O	
10-8	he	B-ScrPart_grocery_staff	O	
10-9	gave	O	B-RelNScrEv	
10-10	me	B-ScrPart_shopper	O	
10-11	change	B-ScrPart_payment_means	O	
10-12	.	O	O	

#id=11
#text=I thanked him , I thanked the bagger , and then I left with my groceries . 
11-1	I	B-ScrPart_shopper	O	
11-2	thanked	O	B-RelNScrEv	
11-3	him	B-ScrPart_grocery_staff	O	
11-4	,	O	O	
11-5	I	B-ScrPart_shopper	O	
11-6	thanked	O	B-RelNScrEv	
11-7	the	O	O	
11-8	bagger	B-ScrPart_grocery_staff	O	
11-9	,	O	O	
11-10	and	O	O	
11-11	then	O	O	
11-12	I	B-ScrPart_shopper	O	
11-13	left	O	B-ScrEv_leave	
11-14	with	O	O	
11-15	my	B-ScrPart_shopper	O	
11-16	groceries	B-ScrPart_groceries	O	
11-17	.	O	O	

